stack,year,worked,want,n_total,median_years_w,A_t,D_t,Delta,StackScore_raw,StackScore,BarrierScore,SatisfactionProxy_raw,SatisfactionProxy,Composite_NewEntrant,Composite_Professional
Scripting,2024,90275,63549,65437,8.0,1.3795711906108166,0.9711478215688372,-0.4084233690419794,1.2570441798982226,0.2640118783015421,0.32,0.703948534319798,0.135965689546532,0.29592007751222094,0.24239445818457644
Other,2024,5861,6488,65437,8.0,0.08956706450479086,0.09914879960878402,0.009581735103993155,0.0924415850359888,0.018454480366196076,0.32,1.1069659722688403,0.4046439815125602,0.28129813916727703,0.22477498660024647
Visualization,2024,323,319,65437,10.0,0.004936045356602534,0.004874917859926341,-6.112749667619259e-05,0.004917707107599676,0.0,0.4,0.9874160571376751,0.3249440380917834,0.23998777450066475,0.21748321142753502
Desktop,2024,1073,594,65437,18.0,0.016397450983388604,0.009077433256414566,-0.007320017726974038,0.014201445665296393,0.0019574837746344905,0.72,0.5535543122707063,0.03570287484713752,0.111318989964459,0.22749385596399507
Web,2025,191033,122698,49123,10.0,3.888870793721882,2.4977709016143153,-1.3910998921075666,3.471540826089612,1.0,0.4,0.6422867695578618,0.09485784637190786,0.3617800215784867,0.5484573539115724
Systems,2025,36498,39627,49123,9.0,0.7429920811025386,0.806689330863343,0.06369724976080449,0.7621012560307799,0.21619090917656816,0.36,1.0857292636780476,0.39048617578536504,0.3552158136227882,0.3116222164062368
Database,2025,109305,77390,49123,11.0,2.2251287584227346,1.5754330965128351,-0.6496956619098995,2.0302200598497646,0.5830428063959897,0.44,0.7080185281552156,0.13867901877014374,0.327277990176416,0.406820828189439
Cloud,2025,78234,57171,49123,11.0,1.5926144575860595,1.1638336420821205,-0.428780815503939,1.4639802129348776,0.4192362596462795,0.44,0.7307687719207202,0.1538458479471468,0.305938340757724,0.34584825824265586
GameDev,2025,1061,1068,49123,7.0,0.021598843718828246,0.021741343159009018,0.0001424994401807711,0.021641593550882476,0.001984613065231934,0.28,1.006550947406042,0.3377006316040279,0.2888223451141289,0.18610403470730114
DevTools,2025,87328,49390,49123,10.0,1.7777415874437636,1.0054353357897523,-0.7723062516540113,1.54604971194756,0.44297800318480335,0.4,0.5655685715643901,0.04371238104292674,0.2627299509431191,0.31030491558679935
Mobile,2025,5136,5808,49123,10.0,0.10455387496691977,0.11823382122427376,0.013679946257353984,0.10865785884412596,0.027157398072157463,0.4,1.130830305728756,0.42055353715250404,0.25359894848033376,0.25702902037461417
Scripting,2025,64434,37732,49123,11.0,1.3116869898011114,0.7681126967001201,-0.5435742931009914,1.148614701870814,0.3280047159588802,0.44,0.5855910114848177,0.057060674323211824,0.24648702776335382,0.28032008868051567
AI/ML,2025,2800,1924,49123,10.0,0.056999776072308286,0.03916698898682898,-0.017832787085479307,0.05164993994666449,0.010665675734247941,0.4,0.6871308021691447,0.12475386811276312,0.2406997128766033,0.16169243072752812
Other,2025,1761,1547,49123,12.0,0.03584878773690532,0.03149237627995033,-0.004356411456954992,0.03454186429981882,0.005716510096203676,0.48,0.8784536330052162,0.25230242200347747,0.2094153217470905,0.22197733063952468
Desktop,2025,796,563,49123,25.0,0.016204222054841927,0.01146102640311056,-0.004743195651731367,0.014781263359322516,0.0,1.0,0.707242786573612,0.1381618577157413,-0.0009486391303462735,0.3414485573147224
